ID_num,num_of_detections,original_index_start,start_time,original_index_end,end_time,event_type_by_y_location,event_type_by_summed_vector_direction,event_type_by_x_location,event_result,summed_vector_angle_degrees, ,detections_index
277,1,56,2024-04-22 23:48:44,56,2024-04-22 23:48:44,unknown,unknown,right_enter,UNKNOWN,160.564178921523,,56
566,6,576,2024-05-01 13:51:58,581,2024-05-01 13:52:02,unknown,exit,unknown,UNKNOWN,302.08108993495324,,576, 577, 578, 579, 580, 581
566,2,917,2024-05-06 16:10:09,918,2024-05-06 16:10:09,unknown,exit,left_exit,UNKNOWN,268.69766968949534,,917
925,1,1003,2024-05-06 22:24:15,1003,2024-05-06 22:24:15,unknown,unknown,left_exit,UNKNOWN,346.6772060019714,,1003
1157,1,731,2024-05-06 13:56:31,731,2024-05-06 13:56:31,unknown,unknown,left_exit,UNKNOWN,170.43330895110293,,731
1348,1,50,2024-04-17 21:43:31,50,2024-04-17 21:43:31,unknown,exit,left_exit,UNKNOWN,241.28601824629322,,50
1639,1,367,2024-04-28 12:15:39,367,2024-04-28 12:15:39,unknown,enter,right_enter,UNKNOWN,92.615738007852,,367
1819,1,688,2024-05-04 05:37:48,688,2024-05-04 05:37:48,unknown,exit,left_exit,UNKNOWN,234.8751874743104,,688
2001,1,48,2024-04-16 16:37:29,48,2024-04-16 16:37:29,failed_to_enter,enter,left_exit,UNKNOWN,104.5429384471501,,48
2004,4,60,2024-04-23 16:43:04,63,2024-04-23 16:43:05,exit,exit,left_exit,EXIT,265.28163368727655,,60, 61, 62
2005,1,425,2024-04-28 14:08:42,425,2024-04-28 14:08:42,failed_to_enter,enter,right_enter,UNKNOWN,100.13156590439358,,425
2006,1,9,2024-04-13 15:03:23,9,2024-04-13 15:03:23,unknown,unknown,right_enter,UNKNOWN,188.47010589936974,,9
2015,1,693,2024-05-05 13:28:36,693,2024-05-05 13:28:36,unknown,enter,right_enter,UNKNOWN,106.18533218915319,,693
2015,1,730,2024-05-06 12:39:57,730,2024-05-06 12:39:57,unknown,exit,right_enter,UNKNOWN,292.7528845723161,,730
2016,1,67,2024-04-25 15:33:55,67,2024-04-25 15:33:55,unknown,exit,right_enter,UNKNOWN,276.0333226279825,,67
2016,1,728,2024-05-06 12:36:50,728,2024-05-06 12:36:50,failed_to_enter,enter,right_enter,UNKNOWN,110.16637403784424,,728
2022,2,10,2024-04-14 13:19:10,11,2024-04-14 13:19:10,unknown,enter,right_enter,UNKNOWN,97.34744718621194,,10
2028,1,435,2024-04-29 16:32:11,435,2024-04-29 16:32:11,failed_to_enter,enter,right_enter,UNKNOWN,61.086842710611066,,435
2028,1,647,2024-05-02 15:17:57,647,2024-05-02 15:17:57,unknown,enter,left_exit,UNKNOWN,76.81615227518074,,647
2031,5,24,2024-04-14 13:37:25,28,2024-04-14 13:37:27,exit,exit,unknown,UNKNOWN,243.8891991648361,,24, 25, 26, 27, 28
2031,3,416,2024-04-28 12:34:35,418,2024-04-28 12:34:35,enter,enter,right_enter,ENTER,86.87483342157869,,416, 417
2044,1,69,2024-04-25 16:00:45,69,2024-04-25 16:00:45,failed_to_enter,enter,right_enter,UNKNOWN,132.64219409867454,,69
2044,4,371,2024-04-28 12:16:56,374,2024-04-28 12:16:57,enter,enter,left_exit,ENTER_Wrong_Tunnel!,74.6798742854488,,371, 372, 373, 374
2044,2,437,2024-04-29 16:54:54,438,2024-04-29 16:54:54,unknown,enter,right_enter,UNKNOWN,119.84932909435419,,437
2045,1,432,2024-04-28 18:00:34,432,2024-04-28 18:00:34,failed_to_enter,enter,right_enter,UNKNOWN,111.392439010306,,432
2050,1,422,2024-04-28 13:23:42,422,2024-04-28 13:23:42,unknown,enter,right_enter,UNKNOWN,113.72807913756546,,422
2057,37,375,2024-04-28 12:23:55,411,2024-04-28 12:24:01,exit,exit,unknown,UNKNOWN,248.54599500452645,,375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410
2064,1,729,2024-05-06 12:38:45,729,2024-05-06 12:38:45,unknown,exit,left_exit,UNKNOWN,264.5182611689115,,729
2070,8,909,2024-05-06 15:37:38,916,2024-05-06 15:37:47,exit,exit,unknown,UNKNOWN,275.75223654610977,,909, 910, 911, 912, 913, 914, 915
2071,2,430,2024-04-28 15:39:32,431,2024-04-28 15:39:33,enter,enter,right_enter,ENTER,120.27858401814024,,430
2084,12,12,2024-04-14 13:23:35,23,2024-04-14 13:24:36,unknown,enter,right_enter,UNKNOWN,35.64335860778154,,12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22
2092,2,359,2024-04-28 10:58:31,360,2024-04-28 10:58:31,failed_to_enter,exit,left_exit,UNKNOWN,227.5601870812604,,359, 360
2092,3,361,2024-04-28 11:36:51,363,2024-04-28 11:36:52,unknown,unknown,right_enter,UNKNOWN,172.63782238579685,,361, 362, 363
2092,4,412,2024-04-28 12:30:19,415,2024-04-28 12:31:05,enter,unknown,left_exit,UNKNOWN,193.76024940580226,,412, 413, 414, 415
2092,4,426,2024-04-28 14:41:31,429,2024-04-28 14:41:32,enter,enter,left_exit,ENTER_Wrong_Tunnel!,131.0849863782666,,426, 427, 428, 429
2092,1,433,2024-04-29 10:15:17,433,2024-04-29 10:15:17,unknown,exit,right_enter,UNKNOWN,276.04964910688494,,433
2092,1,440,2024-04-30 10:24:44,440,2024-04-30 10:24:44,failed_to_enter,enter,left_exit,UNKNOWN,139.11933019687692,,440
2092,1,620,2024-05-01 14:39:17,620,2024-05-01 14:39:17,unknown,unknown,right_enter,UNKNOWN,344.71619607017664,,620
2092,1,626,2024-05-02 12:15:49,626,2024-05-02 12:15:49,failed_to_enter,enter,right_enter,UNKNOWN,144.77943038056168,,626
2092,1,627,2024-05-02 13:53:51,627,2024-05-02 13:53:51,unknown,enter,right_enter,UNKNOWN,122.3032404477054,,627
2092,1,669,2024-05-02 16:39:25,669,2024-05-02 16:39:25,unknown,enter,right_enter,UNKNOWN,128.251955094964,,669
2095,3,0,2024-04-09 17:12:33,2,2024-04-09 17:12:34,enter,unknown,left_exit,UNKNOWN,173.21516025046202,,0, 1, 2
2095,2,65,2024-04-25 15:21:38,66,2024-04-25 15:21:39,enter,enter,unknown,UNKNOWN,73.78895293454441,,65, 66
2095,1,434,2024-04-29 16:15:22,434,2024-04-29 16:15:22,unknown,enter,left_exit,UNKNOWN,140.02343519446475,,434
2095,1,987,2024-05-06 18:09:38,987,2024-05-06 18:09:38,failed_to_enter,enter,right_enter,UNKNOWN,138.7495662047509,,987
2098,15,29,2024-04-14 14:31:38,43,2024-04-14 14:32:26,unknown,enter,left_exit,UNKNOWN,94.76455722383716,,29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42
2099,1,419,2024-04-28 12:44:05,419,2024-04-28 12:44:05,failed_to_enter,enter,right_enter,UNKNOWN,125.23897401749721,,419
2099,1,582,2024-05-01 14:06:01,582,2024-05-01 14:06:01,unknown,enter,right_enter,UNKNOWN,43.37474817663526,,582
2099,3,954,2024-05-06 16:53:22,956,2024-05-06 16:53:23,enter,enter,left_exit,ENTER_Wrong_Tunnel!,130.12630896128127,,954, 955
2105,1,646,2024-05-02 15:15:49,646,2024-05-02 15:15:49,unknown,exit,right_enter,UNKNOWN,280.4990787981157,,646
2105,1,648,2024-05-02 15:18:16,648,2024-05-02 15:18:16,unknown,enter,right_enter,UNKNOWN,100.57500500231737,,648
2110,1,439,2024-04-29 17:20:55,439,2024-04-29 17:20:55,unknown,enter,left_exit,UNKNOWN,125.80706871212783,,439
2110,3,622,2024-05-01 17:27:56,624,2024-05-01 17:27:56,unknown,enter,right_enter,UNKNOWN,129.6142928570812,,622, 623, 624
2110,5,641,2024-05-02 15:15:24,645,2024-05-02 15:15:26,unknown,unknown,right_enter,UNKNOWN,339.3039894691837,,641, 642, 643, 644, 645
2110,4,694,2024-05-06 11:38:15,697,2024-05-06 11:38:16,unknown,unknown,right_enter,UNKNOWN,168.23872953330522,,694, 695, 696
2112,3,368,2024-04-28 12:16:43,370,2024-04-28 12:16:49,exit,exit,unknown,UNKNOWN,265.7843972781367,,368, 369
2131,1,364,2024-04-28 11:40:29,364,2024-04-28 11:40:29,unknown,exit,left_exit,UNKNOWN,328.3867042514707,,364
2134,1,666,2024-05-02 15:53:52,666,2024-05-02 15:53:52,failed_to_enter,enter,left_exit,UNKNOWN,121.84602302112036,,666
2143,1,621,2024-05-01 15:26:41,621,2024-05-01 15:26:41,unknown,enter,left_exit,UNKNOWN,115.52477411481351,,621
2143,1,687,2024-05-03 16:30:17,687,2024-05-03 16:30:17,unknown,enter,left_exit,UNKNOWN,73.53300639719086,,687
2170,1,673,2024-05-03 16:00:51,673,2024-05-03 16:00:51,unknown,enter,left_exit,UNKNOWN,91.59810645132393,,673
